latitude,longitude,data,precipitacao_total_mm,temperatura_media_C,temperatura_max_C,temperatura_min_C,pressao_Pa,vento_u_10m,vento_v_10m
-33.75,-55.25,2025-06-16,0.7109642,7.9876404,14.351715,3.4498596,99551.48,-0.14407985,-3.3160121
-33.75,-55.0,2025-06-16,0.17642975,7.994232,14.550934,3.1979065,99895.1,0.05692927,-2.926445
-33.75,-54.75,2025-06-16,0.17595291,8.073741,14.895172,3.0533752,100585.02,-0.009192149,-2.6039352
-33.75,-54.5,2025-06-16,0.13303757,8.152598,15.013824,3.254547,100956.77,-0.05651474,-2.544487
-33.75,-54.25,2025-06-16,0.0,8.229503,15.207672,3.0011292,101359.65,-0.09138616,-2.5055873
-33.75,-54.0,2025-06-16,0.0,8.382904,15.252594,2.9405823,101509.94,0.019290924,-2.5296757
-33.75,-53.75,2025-06-16,0.0,8.665944,15.201813,3.2452698,101687.31,0.12301,-2.6679814
-33.75,-53.5,2025-06-16,0.0,10.399343,14.674469,6.5655823,101738.81,0.40291724,-3.3077927
-33.75,-53.25,2025-06-16,0.0019073486,11.769948,14.435699,9.104645,101825.23,0.8466835,-3.8289108
-33.75,-53.0,2025-06-16,0.0019073486,13.246918,14.913239,11.823639,101881.27,1.2743365,-4.2781296
-33.75,-52.75,2025-06-16,0.0,13.534515,15.126129,12.397125,101885.35,1.5830116,-4.0245895
-33.75,-52.5,2025-06-16,0.005722046,13.853119,15.378082,12.926422,101906.56,1.875899,-3.825615
-33.75,-52.25,2025-06-16,0.0,14.036794,15.512848,13.24942,101908.65,2.090865,-3.5984828
-33.75,-52.0,2025-06-16,0.0,14.165619,15.661285,13.511139,101920.73,2.378788,-3.3737514
-33.75,-51.75,2025-06-16,0.0,14.318126,15.83316,13.802155,101933.23,2.6384315,-3.1975632
-33.75,-51.5,2025-06-16,0.0,14.649098,16.385895,14.194733,101942.69,2.9818966,-2.9992802
-33.75,-51.25,2025-06-16,0.0,15.035817,17.022614,14.605133,101937.35,3.314294,-2.8490932
-33.75,-51.0,2025-06-16,0.0009536743,15.393971,17.600739,14.829742,101957.48,3.651371,-2.6390507
-33.75,-50.75,2025-06-16,0.020980835,15.6996355,17.905426,15.068024,101949.9,3.9364052,-2.3162968
-33.75,-50.5,2025-06-16,0.038146973,16.041433,18.17691,15.342194,101936.6,4.2344193,-2.0095341
-33.75,-50.25,2025-06-16,0.108242035,16.292816,18.256989,15.592194,101967.19,4.5012245,-1.6647263
-33.75,-50.0,2025-06-16,0.16927719,16.485281,18.272614,15.800446,101937.27,4.7380815,-1.3317999
-33.75,-49.75,2025-06-16,0.25606155,16.671396,18.303864,16.013336,101945.48,5.027022,-1.0464401
-33.75,-49.5,2025-06-16,0.32424927,16.809988,18.305817,16.173492,101952.23,5.308557,-0.7304001
-33.75,-49.25,2025-06-16,0.28419495,16.933847,18.288239,16.317535,101927.19,5.6151567,-0.39255014
-33.75,-49.0,2025-06-16,0.3232956,17.068695,18.280426,16.487457,101946.52,5.9208617,-0.06409963
-33.5,-58.0,2025-06-16,0.8029938,10.2933855,15.353668,7.1393127,100896.1,-1.2668419,-4.005709
-33.5,-57.75,2025-06-16,0.57411194,10.070079,15.347809,6.7018127,100634.27,-1.2674522,-3.8881557
-33.5,-57.5,2025-06-16,0.25367737,9.839203,15.209137,6.3209534,100399.6,-1.236894,-3.8208134
-33.5,-57.25,2025-06-16,0.64754486,9.644704,15.203278,6.018219,100354.23,-1.166378,-3.6941452
-33.5,-57.0,2025-06-16,2.2583008,9.472341,15.193512,5.8209534,100366.65,-1.0883751,-3.6700974
-33.5,-56.75,2025-06-16,3.56102,9.306895,15.131012,5.611969,100407.06,-0.9469363,-3.5112026
-33.5,-56.5,2025-06-16,4.1179657,9.177826,15.009918,5.469391,100347.4,-0.8482221,-3.5166142
-33.5,-56.25,2025-06-16,3.771782,9.092214,15.004059,5.332672,100356.48,-0.8049278,-3.490776
-33.5,-56.0,2025-06-16,3.14188,8.868337,14.947418,4.9361877,100234.23,-0.8263715,-3.4745407
-33.5,-55.75,2025-06-16,2.1867752,8.635753,14.920074,4.4967346,100050.6,-0.76741153,-3.5096157
-33.5,-55.5,2025-06-16,1.4958382,8.411143,14.761871,4.1197815,99671.23,-0.54084903,-3.511813
-33.5,-55.25,2025-06-16,1.0495186,8.197276,14.597809,3.752594,99365.94,-0.1890424,-3.3958461
-33.5,-55.0,2025-06-16,0.62417984,8.243256,14.732574,3.5924377,99597.02,0.040368397,-3.0974655
-33.5,-54.75,2025-06-16,0.4711151,8.408946,15.16861,3.4635315,100378.56,0.02551651,-2.7096074
-33.5,-54.5,2025-06-16,0.1335144,8.495372,15.5416565,3.3541565,101069.65,-0.1553917,-2.4924443
-33.5,-54.25,2025-06-16,0.0,8.586029,15.748688,3.2355042,101487.69,-0.19600041,-2.4682744
-33.5,-54.0,2025-06-16,0.0,8.683116,15.66275,3.1671448,101648.65,-0.19677353,-2.5581589
-33.5,-53.75,2025-06-16,0.0,8.780934,15.551422,3.1808167,101770.31,-0.108760834,-2.632703
-33.5,-53.5,2025-06-16,0.0,9.5746355,15.223297,4.858551,101749.52,0.050500233,-2.8192673
-33.5,-53.25,2025-06-16,0.0,10.63087,14.813141,6.885895,101791.4,0.32837296,-3.051323
-33.5,-53.0,2025-06-16,0.0,12.112071,14.447418,9.731598,101847.6,0.75716525,-3.5016403
-33.5,-52.75,2025-06-16,0.0,13.382253,15.049957,12.091217,101887.02,1.1758257,-3.8962123
-33.5,-52.5,2025-06-16,0.012874603,13.868988,15.462067,12.785797,101917.77,1.5332069,-3.7708054
-33.5,-52.25,2025-06-16,0.00333786,14.071462,15.606598,13.104889,101917.6,1.7446734,-3.5171432
-33.5,-52.0,2025-06-16,0.0047683716,14.335541,15.778473,13.465485,101924.06,2.0048459,-3.339124
-33.5,-51.75,2025-06-16,0.0047683716,14.495372,15.944489,13.770905,101935.73,2.2531776,-3.1778286
-33.5,-51.5,2025-06-16,0.00047683716,14.637787,16.153473,14.031891,101956.06,2.5066364,-2.9530563
-33.5,-51.25,2025-06-16,0.0,14.896332,16.62613,14.360992,101938.81,2.828088,-2.7710087
-33.5,-51.0,2025-06-16,0.0,15.281016,17.268707,14.761871,101968.77,3.1869342,-2.5895717
-33.5,-50.75,2025-06-16,0.0,15.650238,17.842926,15.066315,101969.81,3.5413043,-2.3949916
-33.5,-50.5,2025-06-16,0.0076293945,16.010101,18.159332,15.32608,101952.44,3.8450153,-2.1009243
-33.5,-50.25,2025-06-16,0.029563904,16.342783,18.331207,15.630768,101987.65,4.152714,-1.8346888
-33.5,-50.0,2025-06-16,0.08535385,16.556,18.360504,15.841705,101958.48,4.4429154,-1.5520147
-33.5,-49.75,2025-06-16,0.14257431,16.747162,18.393707,16.064362,101965.65,4.7386513,-1.2664922
-33.5,-49.5,2025-06-16,0.21791458,16.943369,18.423004,16.268707,101971.98,5.071985,-0.9732793
-33.5,-49.25,2025-06-16,0.26226044,17.08082,18.413239,16.41861,101950.1,5.3766723,-0.6501592
-33.5,-49.0,2025-06-16,0.34809113,17.203217,18.417145,16.569,101968.1,5.6986527,-0.33985648
-33.25,-58.0,2025-06-16,0.59461594,10.623383,15.875153,7.3658752,101101.48,-1.359005,-3.8178432
-33.25,-57.75,2025-06-16,0.48732758,10.401703,15.918121,6.9303284,100873.69,-1.3576216,-3.6566696
-33.25,-57.5,2025-06-16,1.1081696,10.281993,15.896637,6.7330627,100754.15,-1.331295,-3.4740117
-33.25,-57.25,2025-06-16,1.9106865,10.164317,15.86734,6.578766,100716.52,-1.2758751,-3.3499477
-33.25,-57.0,2025-06-16,3.2634735,9.975108,15.951324,6.3004456,100726.94,-1.281531,-3.3222783
-33.25,-56.75,2025-06-16,4.7631264,9.744232,15.752106,6.0189514,100607.94,-1.2729048,-3.3213017
-33.25,-56.5,2025-06-16,5.3133965,9.607839,15.605621,5.8822327,100514.56,-1.1673952,-3.3550339
-33.25,-56.25,2025-06-16,4.6625137,9.499034,15.494293,5.7604065,100391.27,-1.0759646,-3.4208298
-33.25,-56.0,2025-06-16,3.5290718,9.220387,15.386871,5.299469,100199.65,-1.0581423,-3.4137905
